column,source_load,filled_cells
ADCORT_SAS7BDAT_SAF2FL,BASE_ROW,783
ADCORT_SAS7BDAT_ENTERMFL,BASE_ROW,783
ADCORT_SAS7BDAT_RANDFL,BASE_ROW,783
ADCORT_SAS7BDAT_RAND2FL,BASE_ROW,783
ADCORT_SAS7BDAT_AGE,BASE_ROW,783
ADCORT_SAS7BDAT_AGEU,BASE_ROW,783
ADCORT_SAS7BDAT_SEX,BASE_ROW,783
ADCORT_SAS7BDAT_RACE,BASE_ROW,783
ADCORT_SAS7BDAT_COUNTRY,BASE_ROW,783
ADCORT_SAS7BDAT_ETHNIC,BASE_ROW,783
ADCORT_SAS7BDAT_SUBJID,BASE_ROW,783
